Ticker,Name,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
INSW,"International Seaways, Inc.",15.78,0.007662835,N/A,N/A,438.226308,4.44,0.033735346,0.826415998
INT,World Fuel Services Corp.,25.17,0.015643332,0,0.107566343,1623.436743,12.1,0.192298447,1.399387497
INTC,Intel Corp.,50.11,0.025600318,0.047619048,0.065762757,214308.67,9.12,0.234878555,1.220237097
INTG,InterGroup Corp.,29.3,N/A,N/A,N/A,67.072388,-55.89,N/A,0.125939149
INTL,"INTL FCStone, Inc.",55.63,N/A,N/A,N/A,1069.080651,10.77,N/A,1.262999089
INTT,inTEST Corp.,4.7,N/A,N/A,N/A,49.06612,126.01,N/A,0.647534069
INTU,"Intuit, Inc.",333.11,0.006242087,0.127659574,0.120549182,88917.51141,47.66,0.303303432,1.200588714
INUV,"Inuvo, Inc.",0.3741,N/A,N/A,N/A,37.964475,-5.11,N/A,1.087814322
INVA,"Innoviva, Inc.",11.545,N/A,N/A,N/A,1183.24464,5.12,N/A,1.039156739
INVE,"Identiv, Inc.",5.4,N/A,N/A,N/A,99.482856,-14.3,N/A,0.924346966
INVH,"Invitation Homes, Inc.",28.67,0.019430951,N/A,N/A,16154.56106,157.1,3.068493151,1.118384535
INWK,"InnerWorkings, Inc.",2.825,N/A,N/A,N/A,149.016132,-7.73,N/A,2.013549903
IO,ION Geophysical Corp.,1.82,N/A,N/A,N/A,28.361718,-1.01,N/A,1.327862538
IONS,"Ionis Pharmaceuticals, Inc.",55.7,N/A,N/A,N/A,7721.05319,60.8,N/A,0.849119273
IOR,"Income Opportunity Realty Investors, Inc.",11.525,N/A,N/A,N/A,49.768427,11.46,N/A,-0.028921995
IOSP,"Innospec, Inc.",73.98,0.014117008,N/A,N/A,1809.394136,33.18,0.466054224,1.30116822
IOTS,Adesto Technologies Corp.,12.54,N/A,N/A,N/A,377.09034,-12.3,N/A,N/A
IOVA,"Iovance Biotherapeutics, Inc.",30.69,N/A,N/A,N/A,4588.05919,-15.92,N/A,1.143758736
IP,International Paper Co.,39.03,0.053468962,0.025,0.030975248,15071.18562,24.12,1.266761416,1.187524613
IPAR,"Inter Parfums, Inc.",45.06,0.020699579,N/A,N/A,1424.327542,39.39,0.817879636,1.439863483
IPG,"Interpublic Group of Cos., Inc.",17.84,0.054871221,0.085106383,0.162711015,6964.02478,15.2,0.835179819,1.306956726
IPGP,IPG Photonics Corp.,162.42,N/A,N/A,N/A,8691.5424,67.65,N/A,0.996758062
IPHI,Inphi Corp.,106.32,N/A,N/A,N/A,5639.089559,-67.25,N/A,1.07112455
IPHS,"Innophos Holdings, Inc.",31.99,0.060018756,N/A,N/A,629.91509,29.45,1.76730486,-0.154294376
IPI,"Intrepid Potash, Inc.",9.69,N/A,N/A,N/A,123.511479,-8.73,N/A,1.554175366
IPWR,"Ideal Power, Inc.",5.6,N/A,N/A,N/A,16.238992,-3.52,N/A,0.640433372
IQV,"IQVIA Holdings, Inc.",160.21,N/A,N/A,N/A,31521.4608,234.36,N/A,1.245126742
