symbol,name,exchange,ipoDate,delistingDate,status
ALUS-WS,Alussa Energy Acquisition Corp Warrants 31102026,NYSE,2020-01-10,null,Active
ALV,Autoliv Inc,NYSE,1997-04-28,null,Active
ALVR,AlloVir Inc,NASDAQ,2020-07-30,null,Active
ALX,Alexanders Inc,NYSE,1984-07-19,null,Active
ALXN,Alexion Pharmaceuticals Inc,NASDAQ,1996-02-28,null,Active
ALXO,Alx Oncology Holdings Inc,NASDAQ,2020-07-17,null,Active
ALYA,Alithya Group inc Class A Sub Voting,NASDAQ,2018-11-02,null,Active
AM,Antero Midstream Partners LP,NYSE,2014-11-05,null,Active
AMAG,AMAG Pharmaceuticals Inc,NASDAQ,1986-06-12,null,Active
AMAL,Amalgamated Bank,NASDAQ,2018-08-07,null,Active
AMAT,Applied Materials Inc,NASDAQ,1984-09-07,null,Active
AMBA,Ambarella Inc,NASDAQ,2012-10-10,null,Active
AMBC,Ambac Financial Group Inc,NYSE,2013-05-01,null,Active
AMBC-WS,AMBAC Financial Group Inc Warrants 30042023,NYSE,2013-08-22,null,Active
AMBO,Ambow Education Holding Ltd American Depository Shares each representing two Class A,NYSE,2018-06-01,null,Active
AMC,AMC Entertainment Holdings Inc - Class A,NYSE,2013-12-18,null,Active
AMCI,Amci Acquisition Corp Class A,NASDAQ,2019-01-23,null,Active
AMCIU,Amci Acquisition Corp Units 1 Ord Class A 05 Warrant,NASDAQ,2018-11-16,null,Active
AMCIW,Amci Acquisition Corp Warrants 20052025,NASDAQ,2019-01-24,null,Active
AMCR,Amcor Plc,NYSE,2019-06-11,null,Active
AMCX,AMC Networks Inc,NASDAQ,2011-06-16,null,Active
AMD,Advanced Micro Devices Inc,NASDAQ,1983-03-21,null,Active
AME,AMETEK Inc,NYSE,1984-07-19,null,Active
AMED,Amedisys Inc,NASDAQ,1994-08-18,null,Active
AMEH,Apollo Medical Holdings Inc,NASDAQ,2000-01-13,null,Active
AMG,Affiliated Managers Group Inc,NYSE,1997-11-21,null,Active
AMGN,Amgen Inc,NASDAQ,1984-09-07,null,Active
AMH,American Homes 4 Rent Class A,NYSE,2013-08-01,null,Active
AMH-P-D,American Homes 4 Rent 65 Series D Cumulative Perpetual Preferred Shares of Beneficial Interest,NYSE,2016-05-25,null,Active
AMH-P-E,American Homes 4 Rent 635 Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest,NYSE,2016-06-22,null,Active
AMH-P-F,American Homes 4 Rent 5875 Series F Cumulative Redeemable Perpetual Preferred Shares,NYSE,2017-04-20,null,Active
AMH-P-G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,NYSE,2017-07-11,null,Active
AMH-P-H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,NYSE,2018-09-13,null,Active
AMHC,Amplitude Healthcare Acquisition Corp Class A,NASDAQ,2020-01-10,null,Active
AMHCU,Amplitude Healthcare Acquisition Corp Unit 1 Cl A & 12 Wt Exp 12012026,NASDAQ,2019-11-20,null,Active
AMHCW,Amplitude Healthcare Acquisition Corp Warrants 01122026,NASDAQ,2020-01-10,null,Active
AMK,Assetmark Financial Holdings Inc,NYSE,2019-07-18,null,Active
AMKR,Amkor Technology Inc,NASDAQ,1998-05-01,null,Active
AMN,AMN Healthcare Services Inc,NYSE,2001-11-13,null,Active
AMNA,ETRACS Alerian Midstream Energy Index ETN,NYSE ARCA,2020-06-22,null,Active
AMNB,American National BankShares Inc,NASDAQ,1999-04-13,null,Active
AMND,UBS AG London Branch ETRACS Alerian Midstream Energy Divid Index ETN 2050,NYSE,2020-07-16,null,Active
AMOT,Allied Motion Technologies Inc,NASDAQ,1992-02-25,null,Active
AMOV,America Movil SAB de CV,NYSE,2001-02-07,null,Active
AMP,Ameriprise Financial Inc,NYSE,2005-09-15,null,Active
AMPE,Ampio Pharmaceuticals Inc,NYSE,2010-03-31,null,Active
AMPH,Amphastar Pharmaceuticals Inc,NASDAQ,2014-06-25,null,Active
AMPY,Midstates Petroleum Company Inc,NYSE,2012-04-20,null,Active
AMRB,American River Bankshares,NASDAQ,1999-01-04,null,Active
AMRC,Ameresco Inc,NYSE,2010-07-22,null,Active
AMRH,Ameri Holdings Inc,NASDAQ,2015-06-24,null,Active
AMRHW,Ameri Holdings Inc Warrants 08112023,NASDAQ,2017-11-17,null,Active
AMRK,AMark Precious Metals Inc,NASDAQ,2014-03-17,null,Active
AMRN,Amarin Corporation plc ADR,NASDAQ,1993-04-05,null,Active
AMRS,Amyris Inc,NASDAQ,2010-09-28,null,Active
AMRX,Amneal Pharmaceuticals Inc Class A,NYSE,2009-01-15,null,Active
AMS,American Shared Hospital Services,NYSE MKT,1984-09-07,null,Active
AMSC,American Superconductor Corp,NASDAQ,1991-12-12,null,Active
AMSF,Amerisafe Inc,NASDAQ,2005-11-18,null,Active
AMSWA,American Software Inc,NASDAQ,1984-09-07,null,Active
AMT,American Tower Corp,NYSE,1998-02-27,null,Active
